fy,Private,Public,gap_bps
2023,3.74806544785656,2.584092350263564,116.39730975929959
2024,4.040357659113814,2.776741885548824,126.36157735649904
2025,3.7157992839061307,2.5993558692859358,111.6443414620195
2026,3.517013983038562,2.372896280628884,114.4117702409678
