year,quarter,period,category,instrument,count,amount_inr,avg_ticket_inr,amount_lakh_cr,count_bn
2018,1,2018Q1,P2P,TOTAL,47101116,147245883542.81802,3126.165493463425,0.14724588354281803,0.047101116
2018,1,2018Q1,Retail,TOTAL,89921478,20568759999.93426,228.74134697757373,0.020568759999934263,0.089921478
2018,1,2018Q1,Utility,TOTAL,2955878,4708627267.640471,1592.9707747209025,0.004708627267640471,0.002955878
2018,2,2018Q2,P2P,TOTAL,74704527,264767671094.9749,3544.198480702179,0.2647676710949749,0.074704527
2018,2,2018Q2,Retail,TOTAL,111138041,30220874155.105717,271.92196194195753,0.030220874155105718,0.111138041
2018,2,2018Q2,Utility,TOTAL,7805908,10291253167.801592,1318.3928337102604,0.010291253167801592,0.007805908
2018,3,2018Q3,P2P,TOTAL,202136497,425967421713.8337,2107.325634092856,0.42596742171383367,0.202136497
2018,3,2018Q3,Retail,TOTAL,133122344,35132218793.594055,263.9092562372103,0.03513221879359406,0.133122344
2018,3,2018Q3,Utility,TOTAL,11767069,14933708388.59365,1269.1102931914184,0.01493370838859365,0.011767069
2018,4,2018Q4,P2P,TOTAL,200253637,594995709377.1013,2971.210502294654,0.5949957093771013,0.200253637
2018,4,2018Q4,Retail,TOTAL,212247229,57960942788.3355,273.08221201010593,0.0579609427883355,0.212247229
2018,4,2018Q4,Utility,TOTAL,15890009,20326596135.375454,1279.2060807124435,0.020326596135375453,0.015890009
2019,1,2019Q1,P2P,TOTAL,404853333,887893108631.0564,2193.122882431738,0.8878931086310564,0.404853333
2019,1,2019Q1,Retail,TOTAL,290431981,75367801413.36275,259.5024182731541,0.07536780141336274,0.290431981
2019,1,2019Q1,Utility,TOTAL,25001026,29032725772.531696,1161.2613727345308,0.029032725772531697,0.025001026
2019,2,2019Q2,P2P,TOTAL,384919116,1196425281585.3062,3108.2511412223707,1.1964252815853063,0.384919116
2019,2,2019Q2,Retail,TOTAL,414986396,119879927485.47314,288.876764734893,0.11987992748547315,0.414986396
2019,2,2019Q2,Utility,TOTAL,27745731,40688149667.54643,1466.465225498886,0.040688149667546435,0.027745731
2019,3,2019Q3,P2P,TOTAL,462141725,1440512511472.762,3117.0362543498145,1.440512511472762,0.462141725
2019,3,2019Q3,Retail,TOTAL,591714936,161068395462.40607,272.2060669132849,0.16106839546240606,0.591714936
2019,3,2019Q3,Utility,TOTAL,52085151,74111923414.74724,1422.8992715168904,0.07411192341474723,0.052085151
2019,4,2019Q4,P2P,TOTAL,703745511,1963952535226.5454,2790.714121125734,1.9639525352265454,0.703745511
2019,4,2019Q4,Retail,TOTAL,660286758,194478712200.18768,294.536744594517,0.19447871220018767,0.660286758
2019,4,2019Q4,Utility,TOTAL,106511932,104658746482.73447,982.6011463460682,0.10465874648273446,0.106511932
2020,1,2020Q1,P2P,TOTAL,694257483,2320557354594.0283,3342.5024741058905,2.3205573545940283,0.694257483
2020,1,2020Q1,Retail,TOTAL,778526397,257423762311.36432,330.65514965623487,0.2574237623113643,0.778526397
2020,1,2020Q1,Utility,TOTAL,159916511,122026884303.45999,763.0661996087446,0.12202688430346,0.159916511
