year,quarter,period,state,count,amount_inr,avg_ticket_inr,volume_share,value_share,ticket_vs_national,merchant_volume_share,merchant_value_share,p2p_volume_share,p2p_value_share,utility_volume_share,utility_value_share,merchant_avg_ticket_inr
2026,2,2026Q2,maharashtra,5064451991,5465176553156.582,1079.1249601869474,0.13098527233826196,0.120123133253109,0.9170735847530849,0.6739137042004196,0.23793367236256985,0.2742890732242307,0.7093016613615388,0.05179722257534971,0.05276466627589134,380.9985805527307
2026,2,2026Q2,karnataka,4491711923,5292341222754.296,1178.245914582064,0.11617211705130631,0.11632425846419345,1.0013096207312804,0.6752688999196087,0.23435214183860795,0.2784314237954748,0.7144047766870615,0.04629967628491655,0.05124308147433057,408.9103670075236
2026,2,2026Q2,telangana,3878232440,5128045744092.112,1322.2636403124184,0.10030529132218645,0.11271308735484989,1.1237003140024675,0.6602590088695148,0.19741997840218256,0.29496002694464596,0.7415989060673668,0.04478096418583926,0.06098111553045061,395.3619046552936
2026,2,2026Q2,uttar pradesh,3665306240,3938705461574.024,1074.5910992621516,0.09479824014576801,0.08657170292735263,0.9132205702788815,0.6256024615285625,0.2552839968764733,0.31858266418688114,0.6830263925690396,0.05581487428455637,0.0616896105544871,438.49877149979534
2026,2,2026Q2,andhra pradesh,3245956863,4623697374921.988,1424.4481889536398,0.08395232977899217,0.10162764377099734,1.2105398866063173,0.6095637793446549,0.1891081538477734,0.34187363598368314,0.7555192403617649,0.04856258467166204,0.055372605790461715,441.9139988180259
2026,2,2026Q2,rajasthan,2553428529,3189512812270.483,1249.109883455243,0.0660410113200247,0.07010464691018528,1.0615320012358505,0.6419900797622834,0.2310725113465744,0.2985413099847135,0.7081939249531113,0.05946861025300309,0.06073356370031432,449.5941087200353
2026,2,2026Q2,bihar,2289051873,2678141315406.156,1169.978429495449,0.059203262961943955,0.05886483683960376,0.9942836575991134,0.5658297006185845,0.22962537434045516,0.3843837753868149,0.7252888816862202,0.04978652399460062,0.04508574397332457,474.80140146310134
2026,2,2026Q2,madhya pradesh,2283838085,2568376073176.965,1124.5876360700784,0.05906841531360854,0.05645222588539016,0.9557091651379438,0.6377756600026223,0.2328896715258124,0.303154504054958,0.7071668826790244,0.05906983594241971,0.059943445795163204,410.6535598509223
2026,2,2026Q2,west bengal,1782353009,2211838113700.3,1240.9652310914912,0.046098175024991694,0.0486156159608178,1.0546104251298731,0.5643337716608304,0.22701386688070097,0.36653693836247225,0.7132411101557848,0.06912928997669732,0.05974502296351407,499.2015894166564
2026,2,2026Q2,odisha,1523130010,1666312139398.4292,1094.0051922412251,0.03939371910741244,0.03662509952155535,0.929719263664645,0.6123945381392624,0.22967612310227534,0.333087925304551,0.7197110540909747,0.05451753655618669,0.05061282280675003,410.3022733860236
2026,2,2026Q2,delhi,1171904826,1176560966476.9006,1003.9731387512016,0.030309749813192274,0.025860498445357753,0.8532072552476831,0.6851053858532365,0.25266202012039407,0.26182859238434436,0.6705732451206323,0.053066021762419126,0.07676473475897364,370.2581918365355
2026,2,2026Q2,gujarat,1157902686,1297688887688.3652,1120.723618123091,0.029947603202961238,0.028522858074334953,0.9524254038304674,0.653938734364418,0.2547975956146367,0.28527789165176876,0.6749283859125053,0.06078337398381335,0.07027401847285804,436.67345003479124
