month,leg,volume_mn,value_brl_bn,volume_share,value_share
2021-11,G2B,0.04,0.232,3.9e-05,0.00043
2021-11,G2G,0.005,0.734,5e-06,0.001363
2021-11,G2P,0.031,0.037,3e-05,6.9e-05
2021-11,Nao disponivel,0.112,0.019,0.000109,3.5e-05
2021-11,P2B,171.416,57.092,0.165596,0.106055
2021-11,P2G,0.992,0.203,0.000958,0.000377
2021-11,P2P,758.882,217.556,0.73312,0.404131
2021-12,B2B,30.167,215.221,0.024638,0.345775
2021-12,B2G,0.458,0.474,0.000374,0.000761
2021-12,B2P,85.972,81.167,0.070215,0.130403
2021-12,G2B,0.055,0.344,4.5e-05,0.000552
2021-12,G2G,0.008,1.17,6e-06,0.001879
2021-12,G2P,0.063,0.054,5.1e-05,8.7e-05
2021-12,Nao disponivel,0.347,0.04,0.000283,6.5e-05
2021-12,P2B,202.456,63.077,0.165351,0.101339
2021-12,P2G,1.657,0.501,0.001354,0.000805
2021-12,P2P,903.219,260.383,0.737683,0.418333
2022-01,B2B,29.282,196.885,0.026781,0.355401
2022-01,B2G,0.528,0.504,0.000483,0.00091
2022-01,B2P,78.376,69.544,0.071684,0.125535
2022-01,G2B,0.023,0.28,2.1e-05,0.000505
2022-01,G2G,0.006,1.353,6e-06,0.002442
2022-01,G2P,0.029,0.062,2.7e-05,0.000113
2022-01,Nao disponivel,0.0,0.0,0.0,0.0
2022-01,P2B,194.798,57.242,0.178163,0.10333
2022-01,P2G,1.923,0.591,0.001759,0.001067
2022-01,P2P,788.403,227.517,0.721078,0.410697
2022-02,B2B,30.224,193.197,0.026,0.34356
2022-02,B2G,0.485,0.475,0.000418,0.000845
2022-02,B2P,81.463,71.95,0.070079,0.127948
2022-02,G2B,0.038,0.391,3.3e-05,0.000696
2022-02,G2G,0.009,1.406,8e-06,0.0025
2022-02,G2P,0.327,0.142,0.000282,0.000252
2022-02,P2B,206.592,57.66,0.177722,0.102537
2022-02,P2G,1.703,0.389,0.001465,0.000691
2022-02,P2P,841.598,236.729,0.723993,0.420972
2022-03,B2B,37.264,257.909,0.02735,0.373674
2022-03,B2G,0.559,0.518,0.00041,0.00075
2022-03,B2P,97.675,88.12,0.071689,0.127673
2022-03,G2B,0.05,0.517,3.7e-05,0.000749
2022-03,G2G,0.009,1.321,7e-06,0.001914
2022-03,G2P,0.094,0.157,6.9e-05,0.000228
2022-03,Nao disponivel,0.0,0.0,0.0,0.0
2022-03,P2B,250.107,70.094,0.183568,0.101556
2022-03,P2G,2.068,0.466,0.001518,0.000676
2022-03,P2P,974.652,271.096,0.715352,0.392781
2022-04,B2B,36.828,246.097,0.025936,0.36166
2022-04,B2G,0.643,0.654,0.000453,0.000961
2022-04,B2P,99.048,89.274,0.069754,0.131196
2022-04,G2B,0.048,0.498,3.4e-05,0.000733
2022-04,G2G,0.009,1.33,6e-06,0.001955
2022-04,G2P,0.056,0.148,3.9e-05,0.000217
2022-04,Nao disponivel,0.879,0.108,0.000619,0.000158
2022-04,P2B,268.669,69.247,0.189208,0.101765
2022-04,P2G,2.356,0.583,0.001659,0.000857
2022-04,P2P,1011.431,272.524,0.712292,0.400498
2022-05,B2B,42.024,286.96,0.026679,0.372374
2022-05,B2G,0.817,0.977,0.000518,0.001267
2022-05,B2P,107.479,97.962,0.068234,0.12712
