month,leg,volume_mn,value_brl_bn,volume_share,value_share
2025-02,B2G,5.547,9.975,0.001113,0.004879
2025-02,B2P,439.229,256.511,0.088096,0.125465
2025-02,G2B,0.194,5.711,3.9e-05,0.002793
2025-02,G2G,0.029,4.572,6e-06,0.002236
2025-02,G2P,0.992,1.184,0.000199,0.000579
2025-02,Nao disponivel,0.663,0.069,0.000133,3.4e-05
2025-02,P2B,2057.528,241.026,0.412677,0.117891
2025-02,P2G,13.589,5.04,0.002725,0.002465
2025-02,P2P,2290.001,585.901,0.459304,0.286578
2025-03,B2B,189.292,984.936,0.034018,0.453382
2025-03,B2G,5.839,9.992,0.001049,0.0046
2025-03,B2P,505.875,274.744,0.090912,0.126469
2025-03,G2B,0.256,5.903,4.6e-05,0.002717
2025-03,G2G,0.031,4.63,6e-06,0.002131
2025-03,G2P,0.647,1.098,0.000116,0.000505
2025-03,Nao disponivel,0.0,0.0,0.0,0.0
2025-03,P2B,2338.978,261.969,0.420344,0.120589
2025-03,P2G,14.684,4.993,0.002639,0.002298
2025-03,P2P,2508.83,624.155,0.450869,0.287308
2025-04,B2B,191.892,1026.258,0.034278,0.455262
2025-04,B2G,5.958,11.659,0.001064,0.005172
2025-04,B2P,512.407,290.271,0.091531,0.128768
2025-04,G2B,0.195,4.78,3.5e-05,0.002121
2025-04,G2G,0.033,4.888,6e-06,0.002168
2025-04,G2P,1.399,1.919,0.00025,0.000851
2025-04,Nao disponivel,0.804,0.16,0.000144,7.1e-05
2025-04,P2B,2378.133,270.486,0.424806,0.119991
2025-04,P2G,14.384,5.104,0.002569,0.002264
2025-04,P2P,2492.956,638.687,0.445317,0.28333
2025-05,B2B,202.793,1076.677,0.034197,0.452533
2025-05,B2G,6.085,10.817,0.001026,0.004546
2025-05,B2P,536.458,297.05,0.090463,0.124852
2025-05,G2B,0.267,5.971,4.5e-05,0.00251
2025-05,G2G,0.034,4.895,6e-06,0.002058
2025-05,G2P,5.975,7.915,0.001008,0.003327
2025-05,P2B,2514.369,286.529,0.423998,0.12043
2025-05,P2G,16.364,6.973,0.00276,0.002931
2025-05,P2P,2647.794,682.396,0.446498,0.286815
2025-06,B2B,198.496,1113.785,0.034229,0.464952
2025-06,B2G,5.829,11.141,0.001005,0.004651
2025-06,B2P,532.002,293.535,0.09174,0.122537
2025-06,G2B,0.289,13.128,5e-05,0.00548
2025-06,G2G,0.034,4.96,6e-06,0.00207
2025-06,G2P,5.999,9.181,0.001035,0.003833
2025-06,Nao disponivel,0.64,0.05,0.00011,2.1e-05
2025-06,P2B,2461.178,281.175,0.424413,0.117377
2025-06,P2G,14.244,4.902,0.002456,0.002046
2025-06,P2P,2580.299,663.624,0.444955,0.277032
2025-07,B2B,213.148,1210.354,0.035543,0.472415
2025-07,B2G,6.325,13.546,0.001055,0.005287
2025-07,B2P,536.635,309.461,0.089486,0.120786
2025-07,G2B,0.328,6.996,5.5e-05,0.002731
2025-07,G2G,0.039,4.432,6e-06,0.00173
2025-07,G2P,6.576,8.964,0.001097,0.003499
2025-07,Nao disponivel,0.584,0.049,9.7e-05,1.9e-05
2025-07,P2B,2559.384,298.959,0.426787,0.116687
2025-07,P2G,14.638,5.062,0.002441,0.001976
2025-07,P2P,2659.205,704.233,0.443433,0.27487
2025-08,B2B,216.512,1194.774,0.0347,0.468489
2025-08,B2G,6.21,12.454,0.000995,0.004883
2025-08,B2P,564.442,312.273,0.090461,0.122447
2025-08,G2B,0.298,6.785,4.8e-05,0.00266
2025-08,G2G,0.037,4.798,6e-06,0.001881
2025-08,G2P,3.305,3.575,0.00053,0.001402
2025-08,Nao disponivel,0.215,0.033,3.5e-05,1.3e-05
2025-08,P2B,2702.98,303.034,0.433197,0.118824
2025-08,P2G,13.606,4.844,0.002181,0.0019
2025-08,P2P,2732.003,707.704,0.437849,0.277501
2025-09,B2B,223.986,1286.608,0.03652,0.485215
2025-09,B2G,6.666,13.692,0.001087,0.005164
2025-09,B2P,565.701,321.187,0.092235,0.121128
2025-09,G2B,0.337,7.489,5.5e-05,0.002824
2025-09,G2G,0.042,4.646,7e-06,0.001752
2025-09,G2P,1.151,2.197,0.000188,0.000828
2025-09,Nao disponivel,0.726,0.058,0.000118,2.2e-05
2025-09,P2B,2660.253,308.337,0.433741,0.116282
2025-09,P2G,14.839,5.314,0.002419,0.002004
2025-09,P2P,2659.576,702.097,0.43363,0.26478
2025-10,B2B,241.219,1335.298,0.037381,0.482617
2025-10,B2G,6.861,16.104,0.001063,0.00582
2025-10,B2P,587.79,336.788,0.091088,0.121725
2025-10,G2B,0.316,6.578,4.9e-05,0.002377
2025-10,G2G,0.05,5.052,8e-06,0.001826
2025-10,G2P,1.263,2.319,0.000196,0.000838
2025-10,Nao disponivel,0.986,0.099,0.000153,3.6e-05
2025-10,P2B,2813.643,323.967,0.436021,0.117091
2025-10,P2G,13.981,5.47,0.002167,0.001977
2025-10,P2P,2786.897,735.115,0.431876,0.265692
2025-11,B2B,235.821,1206.859,0.0365,0.462791
2025-11,B2G,6.201,14.282,0.00096,0.005477
2025-11,B2P,581.688,320.3,0.090032,0.122825
2025-11,G2B,0.349,8.771,5.4e-05,0.003363
2025-11,G2G,0.047,5.861,7e-06,0.002247
2025-11,G2P,1.831,1.844,0.000283,0.000707
2025-11,Nao disponivel,1.039,0.111,0.000161,4.3e-05
2025-11,P2B,2860.455,322.687,0.442733,0.12374
2025-11,P2G,12.279,4.629,0.001901,0.001775
2025-11,P2P,2761.188,722.441,0.427369,0.277032
2025-12,B2B,263.209,1523.495,0.037079,0.484147
2025-12,B2G,7.146,17.099,0.001007,0.005434
2025-12,B2P,648.428,393.178,0.091345,0.124947
2025-12,G2B,0.402,10.177,5.7e-05,0.003234
2025-12,G2G,0.064,8.072,9e-06,0.002565
2025-12,G2P,1.435,2.577,0.000202,0.000819
2025-12,P2B,3153.246,361.889,0.444205,0.115004
2025-12,P2G,14.023,6.174,0.001975,0.001962
2025-12,P2P,3010.679,824.102,0.424121,0.261889
2026-01,B2B,257.006,1337.725,0.040383,0.495453
2026-01,B2G,8.338,20.437,0.00131,0.007569
2026-01,B2P,592.157,306.398,0.093045,0.113481
2026-01,G2B,0.266,5.754,4.2e-05,0.002131
2026-01,G2G,0.047,6.767,7e-06,0.002506
2026-01,G2P,0.687,1.118,0.000108,0.000414
2026-01,Nao disponivel,0.98,0.078,0.000154,2.9e-05
2026-01,P2B,2906.022,319.116,0.456622,0.118191
2026-01,P2G,24.387,9.067,0.003832,0.003358
2026-01,P2P,2574.285,693.542,0.404496,0.256867
2026-02,B2B,250.568,1280.313,0.041857,0.499451
2026-02,B2G,7.304,14.88,0.00122,0.005805
2026-02,B2P,560.999,295.036,0.093714,0.115094
2026-02,G2B,0.383,10.218,6.4e-05,0.003986
2026-02,G2G,0.055,5.141,9e-06,0.002006
2026-02,G2P,1.496,1.676,0.00025,0.000654
2026-02,P2B,2730.047,297.423,0.456051,0.116025
2026-02,P2G,16.297,6.758,0.002722,0.002636
2026-02,P2P,2419.126,651.995,0.404112,0.254344
2026-03,B2B,291.073,1570.669,0.043173,0.521343
2026-03,B2G,8.352,16.006,0.001239,0.005313
2026-03,B2P,624.298,337.603,0.092598,0.112059
2026-03,G2B,0.33,6.89,4.9e-05,0.002287
2026-03,G2G,0.068,5.505,1e-05,0.001827
2026-03,G2P,1.163,1.813,0.000173,0.000602
2026-03,Nao disponivel,1.338,0.094,0.000198,3.1e-05
2026-03,P2B,3090.321,340.859,0.458369,0.113139
2026-03,P2G,19.257,7.227,0.002856,0.002399
2026-03,P2P,2705.796,726.071,0.401334,0.241001
2026-04,B2B,280.064,1455.704,0.04192,0.502543
2026-04,B2G,8.21,19.426,0.001229,0.006706
2026-04,B2P,623.44,338.822,0.093317,0.116969
2026-04,G2B,0.388,6.869,5.8e-05,0.002371
2026-04,G2G,0.075,6.884,1.1e-05,0.002377
2026-04,G2P,1.416,2.287,0.000212,0.000789
2026-04,Nao disponivel,0.721,0.031,0.000108,1.1e-05
2026-04,P2B,3085.488,339.501,0.461837,0.117204
2026-04,P2G,18.107,6.691,0.00271,0.00231
2026-04,P2P,2662.987,720.461,0.398597,0.24872
2026-05,B2B,285.574,1447.146,0.040098,0.489316
2026-05,B2G,8.349,16.85,0.001172,0.005697
2026-05,B2P,672.8,347.121,0.094469,0.11737
2026-05,G2B,0.293,8.751,4.1e-05,0.002959
2026-05,G2G,0.073,3.921,1e-05,0.001326
2026-05,G2P,7.58,12.507,0.001064,0.004229
2026-05,Nao disponivel,0.88,0.023,0.000124,8e-06
2026-05,P2B,3286.493,356.296,0.461464,0.120473
2026-05,P2G,19.743,9.336,0.002772,0.003157
2026-05,P2P,2840.094,755.538,0.398784,0.255466
2026-06,B2B,286.735,1546.118,0.041066,0.507902
2026-06,B2G,8.612,17.109,0.001233,0.00562
2026-06,B2P,668.058,349.023,0.095679,0.114654
2026-06,G2B,0.297,9.388,4.3e-05,0.003084
2026-06,G2G,0.095,4.649,1.4e-05,0.001527
2026-06,G2P,8.503,13.351,0.001218,0.004386
2026-06,Nao disponivel,0.822,0.022,0.000118,7e-06
2026-06,P2B,3214.575,355.475,0.460391,0.116774
2026-06,P2G,17.181,6.299,0.002461,0.002069
2026-06,P2P,2777.394,742.692,0.397778,0.243975
2026-07,B2B,304.32,1654.179,0.042043,0.513196
2026-07,B2G,9.575,20.869,0.001323,0.006474
2026-07,B2P,681.372,364.131,0.094133,0.112969
2026-07,G2B,0.371,16.692,5.1e-05,0.005179
2026-07,G2G,0.106,5.509,1.5e-05,0.001709
2026-07,G2P,7.278,5.65,0.001005,0.001753
2026-07,P2B,3357.62,374.247,0.463864,0.116107
2026-07,P2G,16.967,6.423,0.002344,0.001993
2026-07,P2P,2860.765,775.59,0.395222,0.24062
2026-08,B2B,308.571,1615.42,0.041886,0.508877
2026-08,B2G,9.417,18.342,0.001278,0.005778
2026-08,B2P,687.169,364.783,0.093277,0.114911
2026-08,G2B,0.329,14.468,4.5e-05,0.004558
2026-08,G2G,0.109,5.931,1.5e-05,0.001868
2026-08,G2P,1.314,2.67,0.000178,0.000841
2026-08,Nao disponivel,0.0,0.0,0.0,0.0
2026-08,P2B,3436.104,374.278,0.46642,0.117902
2026-08,P2G,16.572,6.035,0.002249,0.001901
2026-08,P2P,2907.395,772.556,0.394652,0.243364
