month,banks_live,volume_mn,value_cr,provenance,avg_ticket_inr,value_lakh_cr,volume_yoy,value_yoy
2016-07,21.0,0.09,0.38,npci_ckan_mirror,42.22222222222222,3.8e-06,,
2016-08,21.0,0.09,3.09,npci_ckan_mirror,343.3333333333333,3.09e-05,,
2016-09,25.0,0.09,32.64,npci_ckan_mirror,3626.6666666666665,0.0003264,,
2016-10,26.0,0.1,48.57,npci_ckan_mirror,4857.0,0.0004857,,
2016-11,30.0,0.29,100.46,npci_ckan_mirror,3464.1379310344823,0.0010046,,
2016-12,35.0,1.99,707.93,npci_ckan_mirror,3557.437185929648,0.0070792999999999,,
2017-01,36.0,4.46,1696.22,npci_ckan_mirror,3803.183856502242,0.0169622,,
2017-02,44.0,4.38,1937.71,npci_ckan_mirror,4423.995433789954,0.0193771,,
2017-03,44.0,6.37,2425.14,npci_ckan_mirror,3807.12715855573,0.0242514,,
2017-04,48.0,7.2,2271.24,npci_ckan_mirror,3154.4999999999995,0.0227123999999999,,
2017-05,49.0,9.36,2797.07,npci_ckan_mirror,2988.3226495726494,0.0279707,,
2017-06,52.0,10.35,3098.36,npci_ckan_mirror,2993.584541062802,0.0309836,,
2017-07,53.0,11.63,3411.35,npci_ckan_mirror,2933.2330180567496,0.0341135,128.22222222222223,8976.236842105263
2017-08,55.0,16.8,4156.62,npci_ckan_mirror,2474.178571428572,0.0415662,185.66666666666669,1344.1844660194174
2017-09,57.0,30.98,5325.81,npci_ckan_mirror,1719.11233053583,0.0532581,343.22222222222223,162.16819852941177
2017-10,60.0,76.96,7057.78,npci_ckan_mirror,917.0712058212058,0.0705778,768.5999999999999,144.31150916203418
2017-11,61.0,105.02,9669.33,npci_ckan_mirror,920.713197486193,0.0966933,361.1379310344828,95.25054748158472
2017-12,67.0,145.64,13174.24,npci_ckan_mirror,904.5756660258172,0.1317424,72.1859296482412,17.60952354046304
2018-01,71.0,151.83,15571.2,npci_ckan_mirror,1025.568069551472,0.155712,33.04260089686099,8.179941281201732
2018-02,86.0,171.4,19126.2,npci_ckan_mirror,1115.8809801633606,0.191262,38.13242009132421,8.870517260064716
2018-03,91.0,178.05,24172.6,npci_ckan_mirror,1357.6298792474024,0.241726,26.95133437990581,8.967507030521949
2018-04,97.0,190.08,27021.85,npci_ckan_mirror,1421.6040614478115,0.2702185,25.400000000000002,10.897399658336417
2018-05,101.0,189.48,33288.51,npci_ckan_mirror,1756.8350221659275,0.3328851,19.243589743589745,10.90120733481822
2018-06,110.0,246.37,40834.03,npci_ckan_mirror,1657.4270406299468,0.4083403,22.80386473429952,12.179239985024335
2018-08,114.0,273.75,51843.14,npci_ckan_mirror,1893.8133333333333,0.5184314,22.538263112639722,14.197250355431134
2018-09,122.0,405.87,59835.36,npci_ckan_mirror,1474.249390198832,0.5983536,23.15892857142857,13.395196096828673
2018-10,128.0,482.36,74978.27,npci_ckan_mirror,1554.4048013931504,0.7497827,14.570045190445448,13.078284805503763
2018-11,128.0,524.94,82232.21,npci_ckan_mirror,1566.506838876824,0.8223221000000001,5.820945945945947,10.651285531711107
2018-12,129.0,620.17,102594.82,npci_ckan_mirror,1654.3015624748057,1.0259482,4.905256141687297,9.610333911449915
2019-01,134.0,672.75,109932.43,npci_ckan_mirror,1634.0755109624672,1.0993243,3.6192666849766555,7.344498809798516
2019-02,139.0,674.19,106737.12,npci_ckan_mirror,1583.1904952609798,1.0673712,3.4404267931238888,5.854778051787916
2019-03,142.0,799.54,133460.72,npci_ckan_mirror,1669.218800810466,1.3346072,3.664760793465577,5.9779004716043955
2019-04,144.0,781.79,142034.39,npci_ckan_mirror,1816.7844306015688,1.4203439000000002,3.390845268183094,4.875842482811118
2019-05,143.0,733.54,152449.29,npci_ckan_mirror,2078.268260762876,1.5244929,2.8591119528619524,4.641704398477529
2019-06,142.0,754.54,146566.35,npci_ckan_mirror,1942.4596442865848,1.4656635,2.9821617057209204,3.4029110945488394
2019-07,143.0,822.29,146386.64,npci_ckan_mirror,1780.2313052572697,1.4638664,2.3376222754393794,2.584917775688562
2019-08,141.0,918.35,154504.89,npci_ckan_mirror,1682.4183590134485,1.5450489,2.354703196347032,1.9802378868255284
2019-09,141.0,955.02,161456.56,npci_ckan_mirror,1690.609201901531,1.6145656,1.3530194397220785,1.6983469306443548
2019-10,141.0,1148.36,191359.94,npci_ckan_mirror,1666.3758751610992,1.9135994,1.3807115017829004,1.5522053256230106
2019-11,143.0,1218.77,189229.09,npci_ckan_mirror,1552.6234646405803,1.8922909,1.3217320074675198,1.301155350196717
2019-12,143.0,1308.4,202520.76,npci_ckan_mirror,1547.8505044328951,2.0252076,1.1097441024235293,0.9739862109997366
2020-01,144.0,1305.02,216242.97,npci_ckan_mirror,1657.0088581017917,2.1624297,0.9398290598290597,0.967053489129641
