month,hhi
2023-12,3701.9322538929127
2024-06,3768.85620184521
2024-12,3690.798995670441
2025-06,3501.323414812754
2025-12,3295.702052031003
2026-01,3296.9112314861914
2026-02,3277.991665946246
2026-03,3353.9732901153693
2026-04,3319.1544057576157
2026-05,3310.2470589474797
2026-06,3292.1836417387917
2026-07,3255.553704941463
