ticker,bank,cohort,fy_end,net_interest_income,interest_income,interest_expense,net_income,total_revenue,total_assets,avg_total_assets,nim_proxy_pct,cost_of_funds_pct,yield_on_assets_pct
PAYTM.NS,One97 (Paytm),Fintech,2025-03-31,-160000000.0,5532000000.0,160000000.0,-6590000000.0,69000000000.0,214477000000.0,200702500000.0,,,
PAYTM.NS,One97 (Paytm),Fintech,2026-03-31,-180000000.0,,180000000.0,5530000000.0,84370000000.0,239150000000.0,226813500000.0,,,
PNB.NS,Punjab National Bank,Public,2023-03-31,350283000000.0,868452900000.0,518169900000.0,33484500000.0,470921000000.0,14936489400000.0,14936489400000.0,2.345149456605245,3.469154539084666,5.814303995689911
PNB.NS,Punjab National Bank,Public,2024-03-31,405304200000.0,1090645800000.0,685341600000.0,91072000000.0,552605200000.0,15986359600000.0,15461424500000.0,2.6213897690992187,4.432590282997533,7.053980052096752
PNB.NS,Punjab National Bank,Public,2025-03-31,433060100000.0,1240098500000.0,807038400000.0,184802900000.0,597605500000.0,18575436300000.0,17280897950000.0,2.5060046141873085,4.670118429812265,7.176123043999574
PNB.NS,Punjab National Bank,Public,2026-03-31,427026900000.0,1307720900000.0,880694000000.0,183926900000.0,626199700000.0,20333309500000.0,19454372900000.0,2.195017553097278,4.526971928249612,6.72198948134689
SBIN.NS,State Bank of India,Public,2023-03-31,1608637634000.0,3508445801000.0,1899808167000.0,556481728000.0,2703369068000.0,59544183170000.0,59544183170000.0,2.701586533494469,3.190585655656749,5.892172189151218
SBIN.NS,State Bank of India,Public,2024-03-31,1794524642000.0,4391885123000.0,2597360481000.0,670846661000.0,3236135037000.0,67337787997000.0,63440985583500.0,2.828651896711276,4.094136396385892,6.922788293097168
SBIN.NS,State Bank of India,Public,2025-03-31,1893693636000.0,4903126989000.0,3009433353000.0,775613371000.0,3495234156000.0,73141853408000.0,70239820702500.0,2.6960399628876033,4.284511724120741,6.980551687008345
SBIN.NS,State Bank of India,Public,2026-03-31,1999277820000.0,5149325904000.0,3150048084000.0,832987824000.0,3817091770000.0,83215685742000.0,78178769575000.0,2.557315535750423,4.0292883875308805,6.586603923281303
UNIONBANK.NS,Union Bank of India,Public,2023-03-31,331303376000.0,811631823000.0,480328447000.0,85116600000.0,471316461000.0,12883571094000.0,12883571094000.0,2.571518203941849,3.7282244456561697,6.299742649598018
UNIONBANK.NS,Union Bank of India,Public,2024-03-31,370118691000.0,1003755708000.0,633637017000.0,137971187000.0,551776884000.0,14019959109000.0,13451765101500.0,2.7514507442501226,4.710437717421511,7.461888461671633
UNIONBANK.NS,Union Bank of India,Public,2025-03-31,376839533000.0,1066002317000.0,689162784000.0,180269508000.0,593396844000.0,15113294233000.0,14566626671000.0,2.5870061855174185,4.731107617194729,7.318113802712148
UNIONBANK.NS,Union Bank of India,Public,2026-03-31,373215670000.0,1067988991000.0,694773321000.0,194302105000.0,587878802000.0,15875026931000.0,15494160582000.0,2.4087504968392746,4.4840978465599335,6.892848343399208
